iter	RMSE
0	2.735201418
1	2.733154041
2	2.730927314
3	2.728802167
4	2.726689133
5	2.724421991
6	2.722264524
7	2.720001921
8	2.717844209
9	2.715612374
10	2.713356512
11	2.711210164
12	2.709057067
13	2.707110361
14	2.704899873
15	2.702965183
16	2.700753466
17	2.698507772
18	2.69637491
19	2.694688719
20	2.692799932
21	2.690672764
22	2.688441479
23	2.686243358
24	2.684122009
25	2.681897358
26	2.679700124
27	2.677738802
28	2.675519975
29	2.67330405
30	2.671177616
31	2.669200212
32	2.667373047
33	2.665163503
34	2.663074197
35	2.660886794
36	2.658896383
37	2.656842978
38	2.655259531
39	2.653063129
40	2.65091701
41	2.648760383
42	2.646570354
43	2.644855962
44	2.642773395
45	2.640589309
46	2.638516398
47	2.636433425
48	2.634412737
49	2.632374147
50	2.630197908
51	2.628256819
52	2.626241528
53	2.624208336
54	2.622043211
55	2.620198574
56	2.618514287
57	2.616616158
58	2.614480122
59	2.612352905
60	2.610197097
61	2.608371582
62	2.60627258
63	2.604222096
64	2.60239295
65	2.600934921
66	2.598790729
67	2.596939752
68	2.594801365
69	2.592921682
70	2.590814672
71	2.588682421
72	2.586813436
73	2.584683965
74	2.58255778
75	2.580748124
76	2.578928294
77	2.577167429
78	2.575293884
79	2.573451979
80	2.571336699
81	2.569223616
82	2.567112728
83	2.565380062
84	2.563600254
85	2.561621278
86	2.559563087
87	2.557591829
88	2.55558334
89	2.553485541
90	2.551600685
91	2.549534915
92	2.547720115
93	2.545630137
94	2.543540134
95	2.541454498
96	2.53948109
97	2.537551642
98	2.535601089
99	2.533827385
100	2.531751605
101	2.529806582
102	2.528107767
103	2.526283318
104	2.524215388
105	2.522149054
106	2.520290439
107	2.518260297
108	2.516236053
109	2.514177571
110	2.512121235
111	2.510176445
112	2.508155855
113	2.506105679
114	2.504090417
115	2.502038094
116	2.500098149
117	2.498056214
118	2.496016411
119	2.494079784
120	2.492166844
121	2.4902841
122	2.488252155
123	2.486420197
124	2.484392276
125	2.482468492
126	2.480967085
127	2.478960324
128	2.477586588
129	2.475774861
130	2.473953402
131	2.471992803
132	2.469999929
133	2.468230667
134	2.466231081
135	2.464223082
136	2.462306808
137	2.461058202
138	2.459150276
139	2.457291473
140	2.455382477
141	2.453445885
142	2.451774675
143	2.449780856
144	2.448094909
145	2.44610082
146	2.444135064
147	2.442458148
148	2.440491368
149	2.438634156
150	2.436665952
151	2.434776027
152	2.432793275
153	2.431108408
154	2.429232251
155	2.427358214
156	2.425388462
157	2.42344005
158	2.421564495
159	2.419600566
160	2.417754549
161	2.415824636
162	2.414186518
163	2.412321301
164	2.410526618
165	2.408573534
166	2.406713606
167	2.404877245
168	2.403292796
169	2.401374124
170	2.399450976
171	2.397632538
172	2.395812978
173	2.39407254
