iter	Passed	Remaining
0	89	5369991
1	92	2769082
2	93	1876958
3	94	1423505
4	95	1149578
5	96	969703
6	98	842841
7	107	802477
8	110	733643
9	110	664252
10	111	607227
11	117	588626
12	118	547464
13	119	510944
14	120	481229
15	123	461900
16	125	441264
17	126	422501
18	133	419886
19	138	415521
20	139	398311
21	145	395496
22	145	380456
23	146	365899
24	149	358704
25	150	346474
26	150	335343
27	153	329647
28	156	324588
29	158	316143
30	159	308126
31	160	300473
32	163	296916
33	164	290232
34	165	283244
35	166	276873
36	168	273334
37	170	268756
38	171	263096
39	179	269473
40	181	264886
41	182	260160
42	183	255869
43	184	251533
44	186	247977
45	187	244255
46	188	240954
47	191	238721
48	198	243027
49	199	239711
50	203	239207
51	209	242035
52	211	238882
53	212	235952
54	214	233486
55	215	230576
56	222	233767
57	224	232170
58	226	230011
59	227	227304
60	233	229828
61	235	227853
62	237	225870
63	238	223346
64	239	221227
65	241	219061
66	242	216911
67	244	215262
68	257	224009
69	260	222649
70	260	220285
71	263	219170
72	265	217787
73	266	215567
74	272	217587
75	274	216138
76	275	214731
77	276	212344
78	277	210130
79	278	208785
80	284	210249
81	284	208135
82	287	207837
83	288	205857
84	290	204639
85	290	202653
86	292	201448
87	294	200388
88	294	198509
89	296	197074
90	296	195316
91	297	193483
92	298	192595
93	300	191631
94	301	189903
95	301	188322
96	302	186883
97	303	185683
98	305	184832
99	306	183306
100	307	182537
101	309	181558
102	314	182977
103	315	181855
104	316	180688
105	317	179458
106	319	178742
107	320	177722
108	321	176609
109	323	175989
110	324	175097
111	325	173989
112	326	172785
113	326	171691
114	328	171032
115	329	169898
116	330	169330
117	334	169511
118	335	169012
119	337	168477
120	338	167334
121	338	166179
122	341	166313
123	342	165305
124	342	164188
125	343	163181
126	345	162699
127	346	161960
128	346	161001
129	348	160267
130	354	161837
131	354	160931
132	355	160084
133	358	160232
134	361	160366
135	363	160048
136	364	159083
137	367	159219
138	368	158557
139	368	157668
140	371	157822
141	372	157002
142	373	156275
143	373	155419
144	375	154801
145	376	154175
146	377	153599
147	382	154741
148	383	153928
149	383	153100
150	386	153273
151	387	152491
152	388	151772
153	388	151151
154	389	150422
155	390	149873
156	392	149620
157	393	149166
158	396	149324
159	397	148635
160	398	147943
161	398	147251
162	401	147481
163	404	147670
164	405	147092
165	407	146805
166	408	146227
167	411	146480
168	412	145871
169	412	145232
170	413	144598
171	414	144028
172	415	143776
173	416	143141
174	417	142555
175	417	141891
176	423	143135
177	424	142566
178	427	142744
179	430	142944
180	436	144223
181	437	143674
182	437	143094
183	438	142535
184	439	142166
185	440	141602
186	446	142794
187	447	142257
188	450	142466
189	450	141932
190	451	141358
191	452	140815
192	453	140413
193	453	139935
194	456	140088
195	457	139542
196	457	139029
197	458	138512
198	459	138001
199	459	137491
200	460	136961
201	462	136771
202	462	136284
203	463	135848
204	464	135504
205	465	135172
206	467	135030
207	468	134534
208	473	135431
209	474	135035
210	475	134862
211	476	134408
212	483	135614
213	483	135122
214	489	136062
215	489	135620
216	492	135809
217	493	135371
218	499	136240
219	505	137300
220	508	137507
221	508	137047
222	510	136883
223	511	136446
224	514	136636
225	516	136554
226	518	136406
227	518	135953
228	519	135492
229	524	136291
230	525	135851
231	525	135505
232	529	135738
233	531	135654
234	531	135285
235	532	134838
236	539	136081
237	540	135702
238	543	136020
239	545	135884
240	546	135450
241	546	135027
242	547	134622
243	550	134818
244	551	134407
245	553	134564
246	554	134243
247	555	133826
248	556	133440
249	557	133300
250	560	133491
251	561	133093
252	562	132828
253	564	132742
254	566	132668
255	567	132343
256	572	133107
257	573	132866
258	574	132498
259	575	132167
260	575	131802
261	576	131497
262	578	131404
263	580	131294
264	581	131065
265	584	131250
266	585	130892
267	586	130773
268	587	130407
269	592	131170
270	594	131080
271	595	130718
272	598	130898
273	599	130621
274	602	130782
275	603	130523
276	609	131361
277	610	131081
278	610	130765
279	611	130465
280	614	130617
281	615	130278
282	618	130448
283	620	130366
284	620	130021
285	621	129732
286	627	130582
287	628	130382
288	631	130559
289	638	131373
290	638	131020
291	640	130988
292	641	130704
293	642	130511
294	643	130176
295	643	129893
296	649	130540
297	650	130360
298	651	130032
299	651	129720
300	652	129411
301	658	130165
302	659	129973
303	666	130860
304	668	130778
305	668	130442
306	669	130137
307	675	130926
308	676	130678
309	682	131426
310	688	132223
311	691	132379
312	695	132538
313	695	132208
314	698	132359
315	699	132100
316	700	131886
317	701	131618
318	707	132404
319	709	132244
320	712	132382
321	718	133170
322	719	132994
323	720	132772
324	722	132668
325	723	132471
326	729	133047
327	729	132795
328	730	132503
329	732	132402
330	733	132146
331	734	132044
332	735	131730
333	735	131445
334	737	131353
335	739	131279
336	739	131006
337	740	130762
338	741	130450
339	746	131005
340	747	130834
341	748	130532
342	749	130287
343	749	130038
344	752	130158
345	755	130321
346	757	130259
347	758	129964
348	761	130096
349	763	130151
